"DPNOM","Nom_Capital","Year","predicted_adjustment","adjustment_factor","total_prevalence"
"Meta","Villavicencio",2021,1.83939627949247,1.86287516139847,0.00756792144026187
"Meta","Villavicencio",2022,2.06755849617974,2.11243632056217,0.00811207003869302
"Meta","Villavicencio",2023,1.93646588969694,1.94809285891513,0.00798717718287041
"Nariño","Pasto",2020,1.94947230926647,1.95479390791709,0.0108049782235369
"Nariño","Pasto",2021,1.89192939231985,1.9202778291406,0.00978149391831662
"Nariño","Pasto",2022,2.52981459761955,2.58387186462671,0.00544029766602774
"Nariño","Pasto",2023,1.9513495469405,1.97627889795178,0.00737994924558814
"Norte de Santander","Cúcuta",2020,1.8511141913529,1.85390108077573,0.0131030907563326
"Norte de Santander","Cúcuta",2021,1.8013225446293,1.80466903391025,0.0131479538118693
"Norte de Santander","Cúcuta",2022,1.78769061669357,1.80187578712099,0.0126108241785973
"Norte de Santander","Cúcuta",2023,1.83562402947506,1.83786955813988,0.013430712974492
"Putumayo","Mocoa",2020,1.96973604901907,1.95560790082748,0.00845245267174179
"Putumayo","Mocoa",2021,1.9086710414542,1.90566039162603,0.00826840094243887
"Putumayo","Mocoa",2022,2.82730962243548,2.88111022179661,0.00328983909696053
"Putumayo","Mocoa",2023,2.87461704328634,2.90590827009899,0.00377077648226247
"Quindio","Armenia",2020,1.62799794655945,1.64135253994423,0.0205219123022186
"Quindio","Armenia",2021,1.5478674361398,1.56744128289586,0.0194756763440131
"Quindio","Armenia",2022,1.42410935744258,1.43779434904851,0.0193308959823062
"Quindio","Armenia",2023,1.61659488331816,1.5995140337949,0.0196494872530249
"Risaralda","Pereira",2020,1.56284293595504,1.5409549302613,0.0245362161948891
"Risaralda","Pereira",2021,1.52055012430362,1.51123075740066,0.022254652472901
"Risaralda","Pereira",2022,1.43205597828613,1.44938815725862,0.022055171520228
"Risaralda","Pereira",2023,1.60540887660881,1.63777615177068,0.019918091615168
"Santander","Bucaramanga",2020,1.82897246500269,1.80773366771021,0.0128417489826929
"Santander","Bucaramanga",2021,1.70388602411356,1.70787289050295,0.0118750225880606
"Santander","Bucaramanga",2022,1.56056328170356,1.55739400938918,0.0127801585601029
"Santander","Bucaramanga",2023,1.63621782650854,1.62707508660188,0.0126295801201092
