"Cod_Capital","DP","DPNOM","Nom_Capital","Year","Poblacion_Mun","Poblacion_Depto","Poblacion_DeptoH","Poblacion_DeptoM","Pob40_Depto","Pob40H_Depto","Pob40M_Depto","Tabaquismo","TabacoTasa","Muertes_H","Muertes_M","Muertes_Total","Tasa_Mort","Muerte_40","Tasa_40_Mort","A - AMBULATORIO","H - HOSPITALARIO","U - EN URGENCIA","N - NO APLICA","Pacientes","patients_rate","Dx_Confirmado","Espiro","Espiro_Tasa","Consulta","ConsultaTasa","Procedimientos","Urgencias","Hospitalizacion","HospitaTasa","total_prevalence","lethality_rate","Espiro_Nal","spirometry_rate","Espiro_Deficit","biomass_stove_usage","multidimensional_poverty_index","pop_over_40_percent","spirometry_score","lethality_score","access_score","bias_index_score","adjustment_factor"
15001,15,"Boyacá","Tunja","2021",181729,1271639,626709,644930,522552,246227,276325,0.0469043151969981,4690.43151969981,315,265,580,45.61,577,110.419632878642,2350,377,208,7529,9023,709.556721679659,4084,353,27.7594505987942,7394,581.454327839898,2787,409,642,50.4860263014897,0.0172671810652337,6428.01728914995,2992,235.286901392612,869.793098607388,0.96,0.186,0.410927944172835,0.78708609205432,0,0,0.78708609205432,1.78708609205432
15001,15,"Boyacá","Tunja","2022",183582,1285035,633540,651495,533422,251382,282040,0.0436397400185701,4363.97400185701,389,367,756,58.83,754,141.351500313073,2132,728,411,10540,11391,886.434999824907,5049,524,40.777099456435,10296,801.223312983693,2992,691,1403,109.179905605684,0.0213545748019392,6636.81854095338,3533,274.934145762567,830.145854237433,0.953,0.183,0.415103090577299,0.751208830344801,0,0,0.751208830344801,1.7512088303448
15001,15,"Boyacá","Tunja","2023",185469,1298800,640760,658040,545047,257060,287987,0.0478380864765409,4783.80864765409,339,364,703,54.13,701,128.612761835218,1811,471,299,9016,9918,763.627964274715,4176,532,40.9608869725901,8850,681.398213735756,2388,594,1038,79.9199260856175,0.0181965958898957,7088.12260536399,3250,250.230982445334,854.849017554666,0.97,0.158,0.419654296273483,0.773563015849229,0,0,0.773563015849229,1.77356301584923
17001,17,"Caldas","Manizales","2020",445669,1021435,494631,526804,450902,208723,242179,0.108622620380739,10862.2620380739,226,174,400,39.16,399,88.4892947913294,2904,162,313,9382,10525,1030.4130953022,5309,801,78.4190868728798,9200,900.69363199812,3276,632,706,69.1184461076818,0.0233421009443294,3800.47505938242,3023,295.956179296774,809.123820703226,0.877,0.272,0.441439739190453,0.732185742845066,0,0,0.732185742845066,1.73218574284507
17001,17,"Caldas","Manizales","2021",449434,1028635,497712,530923,458153,211674,246479,0.0953436807095344,9534.36807095344,218,215,433,42.09,432,94.2916449308419,2049,163,275,8754,9796,952.330029602337,4777,242,23.5263237202701,8568,832.948519154024,2397,496,590,57.3575660948733,0.0213815035588548,4420.17149857085,3825,371.852017479475,733.227982520525,0.907,0.253,0.445398999645161,0.663506698628629,0,0,0.663506698628629,1.66350669862863
17001,17,"Caldas","Manizales","2022",451812,1034151,499958,534193,464693,214334,250359,0.0938189845474614,9381.89845474614,302,293,595,57.54,593,127.611132511142,1141,167,368,8623,8995,869.795610118832,5205,111,10.7334422149183,8417,813.904352459167,1561,611,817,79.0020026089033,0.0193568657156445,6614.7859922179,2384,230.527263426714,874.552736573286,0.884,0.191,0.449347339024959,0.79139314490651,0,0,0.79139314490651,1.79139314490651
17001,17,"Caldas","Manizales","2023",454494,1040284,502719,537565,471864,217501,254363,0.0826985854189336,8269.85854189336,280,231,511,49.12,507,107.446213315701,1241,127,257,7985,8285,796.417132244656,4941,235,22.5899850425461,7889,758.350604258068,1548,421,554,53.2546881428533,0.0175580251936999,6167.77308388654,4346,417.770531893214,687.309468106786,0.873,0.177,0.453591519238977,0.621954490269289,0,0,0.621954490269289,1.62195449026929
18001,18,"Caquetá","Florencia","2020",173293,413688,209112,204576,122867,59925,62942,0.027190332326284,2719.0332326284,54,40,94,22.72,93,75.6916014877876,288,14,52,1350,1393,336.727195374292,853,34,8.21875423024115,1304,315.213397536308,335,224,227,54.8722708901394,0.0113374624594073,6748.02584350323,145,35.0505695113225,1070.02943048868,0.931,0.318,0.297004022355012,0.968282323893906,0,0,0.968282323893906,1.96828232389391
18001,18,"Caquetá","Florencia","2021",175182,418267,211056,207211,125581,60986,64595,0.0356083086053413,3560.83086053413,30,32,62,14.82,60,47.7779281897739,251,67,53,1164,1226,293.114206953931,676,122,29.1679716544695,1144,273.50950469437,339,135,135,32.2760342078146,0.00976262332677714,5057.09624796085,556,132.929444589222,972.150555410778,0.901,0.269,0.300241233470487,0.879710568837349,0,0,0.879710568837349,1.87971056883735
18001,18,"Caquetá","Florencia","2022",176630,421797,212489,209308,128287,62078,66209,0.0292397660818713,2923.97660818713,63,47,110,26.08,109,84.9657408778754,309,126,92,1218,1315,311.761344912363,734,114,27.02721925476,1172,277.858780408585,456,177,258,61.1668646291937,0.0102504540600373,8365.01901140684,529,125.415780576913,979.664219423087,0.924,0.269,0.304143936538193,0.88650977252605,0,0,0.88650977252605,1.88650977252605
18001,18,"Caquetá","Florencia","2023",177946,425053,213797,211256,131244,63314,67930,0.0375722543352601,3757.22543352601,81,51,132,31.05,131,99.8140867392033,332,96,119,1251,1328,312.431626173677,836,112,26.3496552194667,1225,288.199353962918,490,187,255,59.9925185800359,0.0101185578007376,9939.75903614458,569,133.865659106041,971.214340893959,0.926,0.214,0.308770906216401,0.878863377216092,0.169461164922912,0,1.048324542139,2.048324542139
85001,85,"Casanare","Yopal","2020",180151,443532,223598,219934,137298,69058,68240,0.0446927374301676,4469.27374301676,33,21,54,12.17,53,38.6021646345905,65,12,41,348,373,84.0976524805426,172,0,0,341,76.882840471488,101,19,26,5.86203475735685,0.00271671837900042,14477.2117962467,166,37.4268372969707,1067.65316270303,0.734,0.114,0.309556018505993,0.966132010988371,0.703314628705666,0.568376279978838,2.23782291967288,3.23782291967288
85001,85,"Casanare","Yopal","2021",184803,452098,227592,224506,142711,71522,71189,0.0524861878453039,5248.61878453039,29,18,47,10.4,47,32.9336911660629,178,9,30,579,653,144.43771040792,326,24,5.30858353719769,573,126.742431950595,209,13,18,3.98143765289827,0.00457568092158278,7197.54977029096,508,112.365018204018,992.714981795982,0.736,0.094,0.315663860490425,0.898319562200005,0,0.258686300523909,1.15700586272391,2.15700586272391
85001,85,"Casanare","Yopal","2022",187954,459973,231177,228796,147991,73880,74111,0.0412087912087912,4120.87912087912,55,43,98,21.31,97,65.5445263563325,134,16,23,696,742,161.313816245736,350,5,1.08702032510604,668,145.225915434167,165,53,76,16.5227089416118,0.00501381840787615,13207.5471698113,350,76.0914227574227,1028.98857724258,0.728,0.073,0.321738449865536,0.931143968981954,0.553932388382414,0.172071188611311,1.65714754597568,2.65714754597568
85001,85,"Casanare","Yopal","2023",191133,467775,234776,232999,153480,76352,77128,0.0544959128065395,5449.59128065395,51,51,102,21.81,102,66.4581704456607,54,12,18,309,328,70.1191812302923,156,17,3.63422585644808,300,64.1333974667308,80,23,34,7.26845171289616,0.00213708626531144,31097.5609756098,219,46.8173801507135,1058.26261984929,0.762,0.076,0.328106461439795,0.9576343973733,2.65877983083421,0.640119540144606,4.25653376835212,5.25653376835212
19001,19,"Cauca","Popayán","2020",328217,1508061,746081,761980,522174,248970,273204,0.0317208564631245,3172.08564631245,181,163,344,22.81,342,65.4954095761183,988,260,228,4788,5059,335.463883755365,2674,207,13.7262352119709,4714,312.586825068747,1337,293,371,24.6011268774937,0.00968834143408136,6799.76279897213,1834,121.613117771761,983.466882228239,0.705,0.49,0.346255224423946,0.889950847204039,0,0,0.889950847204039,1.88995084720404
19001,19,"Cauca","Popayán","2021",332323,1525284,754124,771160,536803,255824,280979,0.029874213836478,2987.4213836478,194,157,351,23.01,346,64.4556755457775,912,118,119,4714,5006,328.201174338681,2587,202,13.2434353208976,4637,304.008958331694,1102,261,293,19.209537371401,0.00932558126538041,7011.58609668398,2272,148.955866579601,956.124133420399,0.848,0.36,0.351936426265535,0.865208069479494,0,0,0.865208069479494,1.86520806947949
19001,19,"Cauca","Popayán","2022",335826,1541265,761516,779749,551337,262683,288654,0.0249609984399376,2496.09984399376,232,174,406,26.34,402,72.9136626056296,1154,109,134,4587,4785,310.459265603255,2674,142,9.21321122584371,4525,293.590005612273,1331,264,397,25.7580623708447,0.00867890237731188,8484.84848484849,2239,145.270281230029,959.809718769971,0.845,0.368,0.357717199832605,0.868543199379204,0,0,0.868543199379204,1.8685431993792
19001,19,"Cauca","Popayán","2023",339454,1558045,769354,788691,566460,269824,296636,0.0330769230769231,3307.69230769231,170,164,334,21.44,332,58.6096105638527,1291,141,147,4934,5164,331.441004592294,2473,116,7.44522783359916,4877,313.020484003992,1498,308,436,27.9837873745624,0.00911626593228119,6467.85437645236,2174,139.533838881419,965.546161118581,0.893,0.374,0.363571013674188,0.873734174103758,0,0,0.873734174103758,1.87373417410376
20001,20,"Cesar","Valledupar","2020",526238,1290919,639132,651787,385399,184616,200783,0.0278578290105668,2785.78290105668,167,101,268,20.76,263,68.2409658561647,499,46,91,3002,3137,243.005176932093,803,175,13.5562339697533,2896,224.336306150889,607,363,232,17.9716930341873,0.00813961634565736,8543.19413452343,1407,108.992121116817,996.087878883183,0.897,0.234,0.298546229469084,0.901371736782118,0.00514848784479478,0,0.906520224626913,1.90652022462691
20001,20,"Cesar","Valledupar","2021",538601,1322378,654489,667889,400091,191403,208688,0.0344506517690875,3445.06517690875,151,106,257,19.43,255,63.7355001737105,941,54,74,2674,3278,247.886761576493,961,237,17.9222582347861,2602,196.766733868833,1037,167,123,9.30142515982571,0.008193136061546,7840.14643075046,1946,147.15913301643,957.920866983571,0.692,0.175,0.302554186473157,0.866833954992914,0,0,0.866833954992914,1.86683395499291
20001,20,"Cesar","Valledupar","2022",549314,1349162,667551,681611,414050,197850,216200,0.0339138405132906,3391.38405132906,154,130,284,21.05,284,68.5907499094312,945,164,113,3595,3984,295.294412383391,1248,401,29.7221534552559,3476,257.641410001171,1115,365,302,22.3842651957289,0.00962202632532303,7128.5140562249,2658,197.011181755786,908.068818244214,0.71,0.133,0.306894205440118,0.821722244764374,0,0,0.821722244764374,1.82172224476437
20001,20,"Cesar","Valledupar","2023",558938,1373581,679578,694003,428361,204551,223810,0.0352622061482821,3526.22061482821,185,130,315,22.93,314,73.3026582718782,685,183,89,3423,3671,267.25762805397,1083,234,17.0357627253143,3322,241.849588775616,869,350,278,20.2390685369119,0.00856987447503391,8580.76818305639,1997,145.386402403644,959.693597596356,0.777,0.119,0.311857109264033,0.868438119951819,0.00956925804741632,0,0.878007377999235,1.87800737799924
27001,27,"Chocó","Quibdó","2020",134959,562387,277787,284600,148744,70166,78578,0.0234741784037559,2347.41784037559,29,24,53,9.42,48,32.2702092185231,137,34,46,455,503,89.4401897625656,253,5,0.889067492669639,442,78.5935663519961,199,110,71,12.6247583959089,0.00338164900769107,10536.7793240557,219,38.9411561789302,1066.13884382107,0.505,0.517,0.264486910259305,0.964761685869864,0.239703515752974,0.540956182651484,1.74542138427432,2.74542138427432
27001,27,"Chocó","Quibdó","2021",137257,573848,283374,290474,154349,72837,81512,0.0580046403712297,5800.46403712297,25,30,55,9.58,54,34.98564940492,124,26,55,426,474,82.600270454894,188,8,1.39409739164378,417,72.667326539432,189,78,53,9.23589521964004,0.00307096255887631,11603.3755274262,242,42.1714460972244,1062.90855390278,0.946,0.487,0.268971922878532,0.961838558206443,0.365193764959241,0.576061460018231,1.90309378318391,2.90309378318391
27001,27,"Chocó","Quibdó","2022",139740,584521,288569,295952,160211,75660,84551,0.0272727272727273,2727.27272727273,35,25,60,10.26,58,36.2022582719039,138,51,94,3388,3434,587.489585489657,263,9,1.53972226831885,3373,577.053690115496,251,104,74,12.6599386506216,0.0214342336044342,1747.2335468841,194,33.1895688948729,1071.89043110513,0.962,0.429,0.274089382588478,0.969966365426147,0,0,0.969966365426147,1.96996636542615
27001,27,"Chocó","Quibdó","2023",142184,595138,293776,301362,166387,78644,87743,0.015695067264574,1569.5067264574,49,38,87,14.62,85,51.0857218412496,127,61,81,3697,3742,628.761732572949,246,6,1.0081695337888,3681,618.51200897943,230,112,89,14.9545147512006,0.0224897377799948,2324.95991448423,190,31.9253685699787,1073.15463143002,0.971,0.426,0.279577173697529,0.971110355295564,0,0,0.971110355295564,1.97111035529556
23001,23,"Córdoba","Montería","2020",507463,1842585,916909,925676,645700,315633,330067,0.0159045725646123,1590.45725646123,182,127,309,16.77,306,47.3904289917919,821,161,332,3420,3776,204.929487649145,1707,154,8.35782338399585,3307,179.476116434249,1203,605,293,15.9015730617583,0.00584791698931392,8183.26271186441,881,47.8132623461062,1057.26673765389,0.827,0.334,0.350431594743255,0.956733211761948,0,0,0.956733211761948,1.95673321176195
23001,23,"Córdoba","Montería","2021",513732,1864336,927223,937113,660400,321988,338412,0.125328083989501,12532.8083989501,138,114,252,13.52,252,38.1586917019988,870,139,140,3236,3503,187.895315007595,1602,237,12.7123007869826,3150,168.960959826984,1086,393,198,10.6204031891247,0.00530436099333737,7193.83385669426,1311,70.3199423279924,1034.76005767201,0.749,0.324,0.354227993237271,0.936366650081449,0,0.0356440109087466,0.972010660990196,1.9720106609902
